# RxNorm current prescribable content 2026-09-08: 79604 FDA products keyed by labeler-product digits, their RXCUI, and the clinical drug a brand is a tradename of. Courtesy of the U.S. National Library of Medicine (NLM), National Institutes of Health, Department of Health and Human Services; NLM is not responsible for the product and does not endorse or recommend this or any other product.
000020152	2679323	2644405
000020213	311036	311034
000020243	2679325	2644401
000021152	2644407	2644405
000021214	2679327	2644396
000021243	2644403	2644401
000021340	2679317	2644417
000021423	2679319	2644413
000021433	1551300	1551295
000021434	1551306	1551304
000021436	2058877	2058872
000021442	2703048	2703047
000021445	1745108	1745103
000021457	2601758	2601755
000021460	2601776	2601773
000021471	2601770	2601767
000021484	2601785	2601784
000021495	2601746	2601743
000021506	2601764	2601761
000021717	2725923	2725917
000022002	2679321	2644409
000022214	2644399	2644396
000022236	2395779	2395777
000022340	2644419	2644417
000022377	2058887	2058885
000022423	2644415	2644413
000022457	2669721	2601755
000022460	2669718	2601773
000022471	2669715	2601767
000022484	2669712	2601784
000022495	2669709	2601743
000022506	2669706	2601761
000022980	2370174	2370172
000023002	2644411	2644409
000023115	2170613	2170611
000023116	2703050	2703049
000023182	2395785	2395783
000023227	352317	349591
000023228	352319	349593
000023229	352320	349594
000023235	596928	596926
000023238	352318	349592
000023239	352321	349595
000023240	596932	596930
000023250	617947	608143
000023251	617945	608139
000023270	615186	596934
000023411	2735297	2734636
000023422	2735294	2734632
000023433	2735292	2734628
000023444	2735290	2734623
000023455	2735288	2734644
000023466	2735286	2734640
000023511	2734638	2734636
000023522	2734634	2734632
000023533	2734630	2734628
000023544	2734626	2734623
000023555	2734646	2734644
000023566	2734642	2734640
000023977	2370170	2370164
000024052	2733673	2732452
000024103	2733675	2732456
000024178	2739850	2739844
000024182	2047247	2047241
000024184	1490067	1490065
000024210	2733666	2732437
000024304	2733668	2732442
000024312	2256947	2256945
000024462	404711	403957
000024463	402096	484814
000024464	402097	402019
000024479	2601725	2588561
000024483	1946836	1946830
000024491	2256943	2256937
000024503	2739854	2739852
000024523	2733670	2732446
000024612	2733671	2732449
000024732	2205474	2205472
000024794	2739858	2739856
000024803	2739862	2739860
000024815	1946840	1946838
000024839	2739866	2739864
000024953	2739870	2739868
000025337	1946844	1946842
000025340	2679814	2679813
000025562	2679812	2679810
000026052	2732454	2732452
000026082	2679816	2679815
000026103	2732458	2732456
000026120	2679808	2679805
000026210	2732440	2732437
000026216	1946848	1946846
000026304	2732444	2732442
000026523	2732448	2732446
000026612	2732450	2732449
000026885	2588561	
000026902	2629353	2629351
000027026	2629349	2629343
000027510	865098	242120
000027511	752388	259111
000027516	1652646	1652644
000027575	2668398	2668391
000027623	1728075	1728072
000027640	1728079	1728077
000027669	1657777	1657775
000027678	1657781	1657780
000027712	1652242	1652239
000027714	1926332	1926331
000027715	1736863	847230
000027717	2703052	2703051
000027722	2703054	2703053
000027724	1745114	1745112
000027726	2380250	2380248
000027728	2380236	2380231
000027737	242120	
000027752	1926331	
000027772	2693907	2693903
000027797	2693791	2693784
000028011	2668410	2668405
000028147	729234	729232
000028148	582971	582969
000028149	582976	582974
000028207	2380260	2380259
000028213	2621572	2621571
000028215	311036	311034
000028222	1652639	
000028228	2380256	2380254
000028233	847252	
000028235	2380268	2380267
000028315	311026	311028
000028351	2380266	2380265
000028400	1435117	1435115
000028715	106892	311048
000028797	847254	847252
000028798	847213	847211
000028799	1652640	1652639
000028803	847189	847187
000028805	847199	1654862
000028824	1731317	1731315
000028870	2680732	2680728
000028900	2674932	2674931
000028905	2674934	2674933
000028980	2589014	2589008
000029401	2687979	2687972
000029678	1435117	1435115
000030050	2694850	2694843
000030125	2694855	2694853
000030293	1085756	1085754
000030315	2168083	2168081
000030371	1112980	1112976
000030494	1085752	1085750
000030524	643177	643109
000030527	643173	643105
000030528	643175	643107
000030852	799830	799047
000030855	1045408	1045406
000030857	1045404	1045402
000030893	1364441	1364435
000030894	1364447	1364445
000030895	2612098	2612092
000030898	2749583	2749579
000031028	2749695	2749694
000031100	2694991	2694989
000031611	578457	485434
000031612	578459	485436
000031614	607579	485536
000032187	616018	616015
000032188	1145932	1145929
000032291	1726115	1726110
000032327	1657013	1657012
000032328	1657007	1657005
000032560	1664984	1664981
000032570	1664988	1664986
000032814	1925255	1925254
000032818	1925257	1925256
000033120	2728492	2728491
000033622	664743	664741
000033631	402093	402247
000033638	1598989	1598985
000033641	1601660	1601654
000033734	1991413	1991412
000033756	2569081	2569080
000033764	1992428	1992427
000033772	1657192	1657190
000033774	1657196	1657195
000034040	2670655	2670649
000034160	2696878	2696876
000034522	1726119	1726117
000035150	2695672	2695671
000035200	2694993	2694992
000035700	2749743	2749737
000035710	2749747	2749745
000036120	2700805	2700798
000037125	2596784	2596778
000040259	616447	199058
000040260	616435	200060
000040261	616444	311880
000040298	213394	311881
000040800	261315	312122
000040802	728111	728109
000040822	1115700	1115698
000060005	1547575	1547573
000060032	261314	311207
000060033	1547110	1547104
000060078	1243848	2709482
000060080	1243843	2709477
000060081	1243833	2709470
000060112	665044	2709608
000060221	665040	2709612
000060227	744846	744842
